Title,Type,Episodes,Year,Rating,Members
Fullmetal Alchemist: Brotherhood,TV,64 eps,Apr 2009 - Jul 2010,9.10,"3,227,328 members"
Steins;Gate,TV,24 eps,Apr 2011 - Sep 2011,9.07,"2,480,359 members"
Bleach: Sennen Kessen-hen,TV,13 eps,Oct 2022 - Dec 2022,9.06,"480,168 members"
GintamaÂ°,TV,51 eps,Apr 2015 - Mar 2016,9.06,"606,896 members"
Shingeki no Kyojin Season 3 Part 2,TV,10 eps,Apr 2019 - Jul 2019,9.05,"2,155,739 members"
Gintama',TV,51 eps,Apr 2011 - Mar 2012,9.04,"535,933 members"
Gintama: The Final,Movie,1 eps,Jan 2021 - Jan 2021,9.04,"138,170 members"
Hunter x Hunter (2011),TV,148 eps,Oct 2011 - Sep 2014,9.04,"2,710,006 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13 eps,Apr 2022 - Jun 2022,9.04,"857,086 members"
Gintama': Enchousen,TV,13 eps,Oct 2012 - Mar 2013,9.03,"314,314 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special,2 eps,Mar 2023 - Nov 2023,9.03,"479,236 members"
Ginga Eiyuu Densetsu,OVA,110 eps,Jan 1988 - Mar 1997,9.02,"310,206 members"
Fruits Basket: The Final,TV,13 eps,Apr 2021 - Jun 2021,8.99,"446,607 members"
Gintama.,TV,12 eps,Jan 2017 - Mar 2017,8.98,"303,187 members"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13 eps,Jul 2023 - Sep 2023,8.96,"189,140 members"
Gintama,TV,201 eps,Apr 2006 - Mar 2010,8.94,"1,036,853 members"
Koe no Katachi,Movie,1 eps,Sep 2016 - Sep 2016,8.94,"2,235,833 members"
3-gatsu no Lion 2nd Season,TV,22 eps,Oct 2017 - Mar 2018,8.93,"389,444 members"
Clannad: After Story,TV,24 eps,Oct 2008 - Mar 2009,8.93,"1,163,399 members"
Code Geass: Hangyaku no Lelouch R2,TV,25 eps,Apr 2008 - Sep 2008,8.91,"1,724,932 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1 eps,Jul 2013 - Jul 2013,8.91,"233,039 members"
Violet Evergarden Movie,Movie,1 eps,Sep 2020 - Sep 2020,8.89,"567,614 members"
Owarimonogatari 2nd Season,TV,7 eps,Aug 2017 - Aug 2017,8.88,"386,332 members"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14 eps,Jul 2018 - Oct 2018,8.88,"189,927 members"
Monster,TV,74 eps,Apr 2004 - Sep 2005,8.87,"1,047,319 members"
Kimi no Na wa.,Movie,1 eps,Aug 2016 - Aug 2016,8.84,"2,643,223 members"
The First Slam Dunk,Movie,1 eps,Dec 2022 - Dec 2022,8.83,"28,487 members"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1 eps,Dec 2022 - Dec 2022,8.83,"209,497 members"
Bocchi the Rock!,TV,12 eps,Oct 2022 - Dec 2022,8.82,"472,892 members"
Vinland Saga Season 2,TV,24 eps,Jan 2023 - Jun 2023,8.82,"504,465 members"
Kingdom 3rd Season,TV,26 eps,Apr 2020 - Oct 2021,8.81,"94,185 members"
Gintama.: Shirogane no Tamashii-hen,TV,12 eps,Jan 2018 - Mar 2018,8.81,"204,247 members"
Jujutsu Kaisen 2nd Season,TV,23 eps,Jul 2023 - ,8.81,"584,492 members"
Mob Psycho 100 II,TV,13 eps,Jan 2019 - Apr 2019,8.80,"1,463,390 members"
Shingeki no Kyojin: The Final Season,TV,16 eps,Dec 2020 - Mar 2021,8.80,"1,890,197 members"
Kizumonogatari III: Reiketsu-hen,Movie,1 eps,Jan 2017 - Jan 2017,8.79,"446,879 members"
Kimetsu no Yaiba: Yuukaku-hen,TV,11 eps,Dec 2021 - Feb 2022,8.78,"1,311,329 members"
Sen to Chihiro no Kamikakushi,Movie,1 eps,Jul 2001 - Jul 2001,8.78,"1,790,317 members"
"""Oshi no Ko""",TV,11 eps,Apr 2023 - Jun 2023,8.78,"658,839 members"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10 eps,Oct 2016 - Dec 2016,8.78,"1,160,651 members"
Monogatari Series: Second Season,TV,26 eps,Jul 2013 - Dec 2013,8.77,"654,484 members"
Shingeki no Kyojin: The Final Season Part 2,TV,12 eps,Jan 2022 - Apr 2022,8.77,"1,177,472 members"
Hajime no Ippo,TV,75 eps,Oct 2000 - Mar 2002,8.76,"561,153 members"
Cowboy Bebop,TV,26 eps,Apr 1998 - Apr 1999,8.75,"1,801,745 members"
Vinland Saga,TV,24 eps,Jul 2019 - Dec 2019,8.74,"1,412,042 members"
Kingdom 4th Season,TV,26 eps,Apr 2022 - Oct 2022,8.74,"56,371 members"
Mushishi Zoku Shou 2nd Season,TV,10 eps,Oct 2014 - Dec 2014,8.73,"258,318 members"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12 eps,Jan 2017 - Mar 2017,8.72,"182,853 members"
Bungou Stray Dogs 5th Season,TV,11 eps,Jul 2023 - Sep 2023,8.72,"120,711 members"
86 Part 2,TV,12 eps,Oct 2021 - Mar 2022,8.71,"454,299 members"
